sample_id	read_count	gc_content	seq_score	read_length	map_score
barcode01	read	occurence
Mapped	3807
No mapped	402
total	4209	GC_content,mapped,occurence
47.79,1.0,5.0
47.8,1.0,3.0
47.81,0.0,1.0
47.81,1.0,3.0
47.83,1.0,4.0
47.84,1.0,14.0
47.85,1.0,1.0
47.86,1.0,14.0
47.87,1.0,4.0
47.88,1.0,8.0
47.89,0.0,1.0
47.89,1.0,1.0
47.91,0.0,1.0
47.91,1.0,1.0
47.92,1.0,1.0
47.93,1.0,1.0
47.94,1.0,1.0
47.95,1.0,5.0
47.96,1.0,3.0
47.97,1.0,1.0
47.98,1.0,7.0
47.99,1.0,1.0
48.0,0.0,1.0
48.0,1.0,7.0
48.01,1.0,1.0
48.02,1.0,3.0
48.03,1.0,6.0
48.04,1.0,5.0
48.05,1.0,6.0
48.06,1.0,1.0
48.07,1.0,77.0
48.08,1.0,1.0
48.09,1.0,3.0
48.1,1.0,2.0
48.11,1.0,1.0
48.12,1.0,1.0
48.13,1.0,3.0
48.15,1.0,2.0
48.17,1.0,1.0
48.18,1.0,1.0
48.19,1.0,1.0
48.2,1.0,2.0
48.21,1.0,4.0
48.22,1.0,1.0
48.23,1.0,2.0
48.24,0.0,1.0
48.24,1.0,2.0
48.25,1.0,2.0
48.26,1.0,7.0
48.28,1.0,7.0
48.29,1.0,7.0
48.3,1.0,2.0
48.31,0.0,1.0
48.31,1.0,4.0
48.33,1.0,1.0
48.34,0.0,1.0
48.34,1.0,1.0
48.37,1.0,1.0
48.39,0.0,1.0
48.39,1.0,2.0
48.4,1.0,1.0
48.41,1.0,1.0
48.42,1.0,3.0
48.43,1.0,2.0
48.44,1.0,3.0
48.45,1.0,1.0
48.46,1.0,2.0
48.47,0.0,1.0
48.47,1.0,4.0
48.48,1.0,3.0
48.5,1.0,9.0
48.51,1.0,3.0
48.53,1.0,1.0
48.56,1.0,3.0
48.57,1.0,1.0
48.58,1.0,2.0
48.59,1.0,1.0
48.6,1.0,2.0
48.61,1.0,2.0
48.63,1.0,2.0
48.64,1.0,2.0
48.65,1.0,1.0
48.66,1.0,4.0
48.67,1.0,6.0
48.68,1.0,4.0
48.69,1.0,1.0
48.7,0.0,1.0
48.7,1.0,1.0
48.71,1.0,3.0
48.72,1.0,5.0
48.73,1.0,3.0
48.75,1.0,1.0
48.8,1.0,1.0
48.81,0.0,1.0
48.81,1.0,1.0
48.83,1.0,1.0
48.84,1.0,2.0
48.87,1.0,2.0
48.88,1.0,2.0
48.89,1.0,4.0
48.9,1.0,4.0
48.91,1.0,2.0
48.92,1.0,3.0
48.93,1.0,2.0
48.94,0.0,1.0
48.94,1.0,3.0
48.95,1.0,1.0
48.96,1.0,1.0
49.0,1.0,1.0
49.01,0.0,1.0
49.01,1.0,3.0
49.02,0.0,1.0
49.03,1.0,1.0
49.04,1.0,2.0
